case_study_id,gt_grand,baseline_grand,sft_grand,cot_grand,gt_insights,baseline_insights,sft_insights,cot_insights
SC74770,3.0,2.923076923076923,3.58974358974359,3.4615384615384617,3.0,2.6666666666666665,3.6666666666666665,3.5833333333333335
SC89614,3.6923076923076925,3.3076923076923075,3.6153846153846154,3.6923076923076925,3.5833333333333335,3.5,3.5833333333333335,3.6666666666666665
SC27019,3.641025641025641,3.282051282051282,3.6923076923076925,3.6666666666666665,3.9166666666666665,3.5,3.9166666666666665,3.75
SC63590,4.076923076923077,3.1025641025641026,4.0,3.6153846153846154,4.166666666666667,3.5,4.0,3.6666666666666665
SC26270,3.7435897435897436,3.3333333333333335,3.58974358974359,3.717948717948718,3.8333333333333335,3.4166666666666665,3.75,3.6666666666666665
SC13644,3.7435897435897436,3.1794871794871793,3.5641025641025643,3.6153846153846154,3.9166666666666665,2.8333333333333335,3.6666666666666665,3.6666666666666665
SC98004,3.641025641025641,3.5641025641025643,3.5641025641025643,3.641025641025641,3.75,3.6666666666666665,3.8333333333333335,3.5
SC92680,3.8461538461538463,3.282051282051282,3.717948717948718,3.41025641025641,4.083333333333333,3.6666666666666665,4.0,3.4166666666666665
SC35235,3.871794871794872,3.3846153846153846,3.7435897435897436,4.051282051282051,3.8333333333333335,3.5833333333333335,4.0,3.8333333333333335
SC29511,4.051282051282051,3.58974358974359,3.871794871794872,3.7435897435897436,4.083333333333333,3.75,4.083333333333333,3.75
SC72338,3.6153846153846154,3.358974358974359,3.58974358974359,3.58974358974359,3.8333333333333335,3.4166666666666665,3.75,3.5833333333333335
SC89975,3.5641025641025643,3.2564102564102564,3.4871794871794872,3.6153846153846154,3.6666666666666665,3.5,3.6666666666666665,3.75
SC20817,3.0,3.4871794871794872,4.128205128205129,3.6923076923076925,3.0,3.6666666666666665,4.25,3.5833333333333335
SC91227,3.5128205128205128,3.128205128205128,4.0,3.641025641025641,3.8333333333333335,3.5833333333333335,4.0,3.6666666666666665
SC46607,3.4615384615384617,3.1025641025641026,3.5128205128205128,3.58974358974359,3.4166666666666665,3.25,3.4166666666666665,3.6666666666666665
SC53021,3.641025641025641,3.4871794871794872,3.6923076923076925,3.6923076923076925,3.6666666666666665,3.4166666666666665,3.75,3.6666666666666665
SC92490,3.5641025641025643,3.4871794871794872,3.58974358974359,3.5641025641025643,3.5,3.5833333333333335,3.9166666666666665,3.5
SC93958,3.0,2.9743589743589745,4.051282051282051,3.6923076923076925,3.0,2.6666666666666665,4.333333333333333,3.75
SC20915,3.3846153846153846,3.2051282051282053,3.4615384615384617,3.58974358974359,3.5833333333333335,3.5,3.6666666666666665,3.5833333333333335
SC42381,4.0,3.358974358974359,3.8974358974358974,3.5641025641025643,4.0,3.5833333333333335,3.8333333333333335,3.6666666666666665
SC26993,3.641025641025641,3.4358974358974357,3.6666666666666665,3.871794871794872,3.5833333333333335,3.5,3.5833333333333335,3.8333333333333335
SC96386,3.5128205128205128,3.2051282051282053,3.9743589743589745,3.4871794871794872,3.75,3.25,4.0,3.5833333333333335
SC93373,3.769230769230769,2.769230769230769,3.41025641025641,3.58974358974359,4.083333333333333,2.5,3.6666666666666665,3.6666666666666665
SC59417,4.0256410256410255,3.4358974358974357,4.0256410256410255,3.8205128205128207,4.0,3.5833333333333335,4.0,4.0
SC11775,3.871794871794872,3.358974358974359,3.8974358974358974,3.5384615384615383,4.25,3.5833333333333335,4.333333333333333,3.5833333333333335
SC31958,4.076923076923077,3.3076923076923075,4.051282051282051,3.1794871794871793,4.25,3.4166666666666665,4.333333333333333,3.0833333333333335
SC13068,4.333333333333333,3.282051282051282,4.282051282051282,3.5641025641025643,4.333333333333333,3.6666666666666665,4.25,3.8333333333333335
SC76438,3.9743589743589745,3.3333333333333335,4.102564102564102,3.4358974358974357,4.333333333333333,3.5,4.333333333333333,3.5833333333333335
SC29541,3.948717948717949,3.076923076923077,3.6666666666666665,3.6923076923076925,3.8333333333333335,3.25,3.8333333333333335,3.6666666666666665
SC50022,4.153846153846154,2.8974358974358974,4.051282051282051,3.7435897435897436,4.333333333333333,2.6666666666666665,4.0,3.75
SC84381,3.58974358974359,3.051282051282051,3.5384615384615383,3.923076923076923,3.4166666666666665,2.9166666666666665,3.4166666666666665,3.9166666666666665
SC24476,3.4871794871794872,3.0256410256410255,3.6923076923076925,3.7948717948717947,3.5833333333333335,2.8333333333333335,3.75,3.6666666666666665
SC95213,4.3076923076923075,3.0,3.6153846153846154,3.8974358974358974,4.333333333333333,3.0,3.75,3.9166666666666665
SC98589,3.923076923076923,3.230769230769231,3.8974358974358974,3.5641025641025643,4.25,3.5833333333333335,4.25,3.5833333333333335
SC38014,4.333333333333333,3.282051282051282,4.153846153846154,3.6923076923076925,4.333333333333333,3.1666666666666665,4.333333333333333,3.6666666666666665
SC43819,3.5641025641025643,3.230769230769231,3.7948717948717947,3.8974358974358974,3.75,3.25,4.0,3.9166666666666665
SC59867,4.0,3.282051282051282,3.6923076923076925,3.6153846153846154,4.25,3.4166666666666665,3.9166666666666665,3.75
SC41241,3.5128205128205128,3.2564102564102564,3.871794871794872,3.5128205128205128,3.5833333333333335,3.25,3.75,3.5
SC73492,3.7948717948717947,3.2564102564102564,3.5641025641025643,4.128205128205129,4.083333333333333,3.3333333333333335,3.9166666666666665,3.9166666666666665
SC10719,3.7435897435897436,2.8974358974358974,3.6153846153846154,3.641025641025641,3.6666666666666665,2.5833333333333335,3.6666666666666665,3.5
SC91516,3.2564102564102564,2.8974358974358974,3.8974358974358974,3.8461538461538463,3.4166666666666665,2.8333333333333335,3.8333333333333335,3.5833333333333335
SC91677,3.948717948717949,3.2051282051282053,3.6666666666666665,3.5128205128205128,3.9166666666666665,3.1666666666666665,3.9166666666666665,3.6666666666666665
SC60218,3.41025641025641,2.7435897435897436,3.0,3.5128205128205128,3.4166666666666665,3.0,3.25,3.5
SC27930,3.9743589743589745,3.4615384615384617,3.948717948717949,3.769230769230769,4.0,3.5833333333333335,3.8333333333333335,3.6666666666666665
SC31093,3.0,3.2051282051282053,3.4871794871794872,3.5128205128205128,3.0,3.4166666666666665,3.6666666666666665,3.6666666666666665
SC47706,4.0,3.3333333333333335,3.6153846153846154,3.8974358974358974,4.25,3.5833333333333335,3.5833333333333335,4.083333333333333
SC65453,3.5128205128205128,3.051282051282051,3.717948717948718,3.7948717948717947,3.5,3.0,3.9166666666666665,3.6666666666666665
SC31114,3.0,3.1025641025641026,3.641025641025641,3.6923076923076925,3.0,3.0833333333333335,3.6666666666666665,3.75
SC76987,3.6153846153846154,3.3076923076923075,3.8974358974358974,3.6153846153846154,3.75,3.3333333333333335,4.0,3.5
SC36622,3.641025641025641,3.282051282051282,3.871794871794872,3.6666666666666665,3.6666666666666665,3.5,4.166666666666667,3.75
SC42837,4.102564102564102,2.8974358974358974,3.948717948717949,3.641025641025641,4.083333333333333,2.5833333333333335,4.25,3.6666666666666665
SC89970,3.5384615384615383,3.2051282051282053,4.0,3.58974358974359,3.5833333333333335,2.6666666666666665,3.6666666666666665,3.6666666666666665
SC93220,3.8461538461538463,3.2051282051282053,3.769230769230769,3.769230769230769,3.9166666666666665,3.3333333333333335,3.9166666666666665,3.5833333333333335
SC94644,3.8974358974358974,3.5128205128205128,4.0256410256410255,3.6666666666666665,3.9166666666666665,3.8333333333333335,3.9166666666666665,3.5833333333333335
SC99345,3.58974358974359,3.0256410256410255,3.8461538461538463,3.948717948717949,3.75,2.8333333333333335,4.25,4.0
SC87026,3.4358974358974357,3.4615384615384617,3.6153846153846154,3.5128205128205128,3.6666666666666665,3.5833333333333335,3.8333333333333335,3.5833333333333335
SC55385,3.7435897435897436,3.282051282051282,3.7435897435897436,4.153846153846154,4.0,3.5,4.083333333333333,4.0
SC91867,4.17948717948718,2.923076923076923,3.948717948717949,3.8461538461538463,4.166666666666667,2.9166666666666665,3.8333333333333335,4.0
SC32426,3.58974358974359,3.358974358974359,3.58974358974359,3.58974358974359,3.6666666666666665,3.0833333333333335,3.6666666666666665,3.5
SC24604,3.5384615384615383,3.2051282051282053,3.6153846153846154,3.717948717948718,3.75,3.0,3.75,3.6666666666666665
SC32359,4.256410256410256,3.3846153846153846,4.051282051282051,3.948717948717949,4.333333333333333,3.6666666666666665,4.25,4.0
SC92632,3.0,3.5128205128205128,3.948717948717949,3.6153846153846154,3.0,3.6666666666666665,4.333333333333333,3.6666666666666665
SC83475,3.871794871794872,3.0256410256410255,3.6666666666666665,3.5384615384615383,3.9166666666666665,2.8333333333333335,3.8333333333333335,3.6666666666666665
SC77904,3.0,3.230769230769231,4.3076923076923075,4.487179487179487,3.0,3.75,4.333333333333333,4.666666666666667
SC59642,4.282051282051282,3.4615384615384617,4.3076923076923075,3.5128205128205128,4.25,3.6666666666666665,4.333333333333333,3.5
SC88505,4.230769230769231,3.4358974358974357,4.102564102564102,3.9743589743589745,4.333333333333333,3.9166666666666665,4.333333333333333,4.083333333333333
SC32677,3.0,2.8974358974358974,3.5384615384615383,4.461538461538462,3.0,2.8333333333333335,3.5,4.583333333333333
SC93579,4.0,3.0256410256410255,3.6666666666666665,3.4871794871794872,4.0,3.0833333333333335,3.6666666666666665,3.5
SC41677,3.6923076923076925,3.4615384615384617,3.58974358974359,3.58974358974359,3.75,3.4166666666666665,3.6666666666666665,3.75
